web-scraper-order,web-scraper-start-url,text_raw,price_raw,model_raw,type_year_km_transmission_fuel,Location,PLZ,km_raw,Year,price,km,luxury,competition,xDrive,automat,km_cat,km_per_year,km_per_year_cat
1705078074-198,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=80,BMW 535 GRAN TURISMO 535D GT XDRIVE STEPTRONICCHF 24'900AB CHF 399 / MONAT5 / 6OCCASION09.201391.000 KMAUTOMATDIESEL9434 (SG)PREISCHF 24'900FINANZIERUNGAB CHF 399 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 24'900,535d GT xDrive Steptronic,Occasion09.201391.000 kmAutomatDiesel9434 (SG),SG,9434,91.000,2013,24900,91000,0,0,1,1,50-120k,8272.73,low
1705078074-199,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=80,BMW M340 M340I XDRIVE 48V TOURING STEPTRONICCHF 52'900AB CHF 847 / MONAT4.5 / 6OCCASION12.202041.400 KMAUTOMATBENZIN/ELEKTRO6340 (ZH)PREISCHF 52'900FINANZIERUNGAB CHF 847 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 52'900,M340i xDrive 48V Touring Steptronic,Occasion12.202041.400 kmAutomatBenzin/Elektro6340 (ZH),ZH,6340,41.400,2020,52900,41400,0,0,1,1,0-50k,10350.0,medium
1705078074-200,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=80,BMW X2 X2 XDRIVE 18D STEPTRONICCHF 25'500AB CHF 408 / MONAT5 / 6OCCASION12.202045.000 KMAUTOMATDIESEL8352 (ZH)PREISCHF 25'500FINANZIERUNGAB CHF 408 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 25'500,X2 xDrive 18d Steptronic,Occasion12.202045.000 kmAutomatDiesel8352 (ZH),ZH,8352,45.000,2020,25500,45000,0,0,1,1,0-50k,11250.0,medium
1705078078-201,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=79,BMW 218 ACTIVE TOURER 218D ACTIVE TOURER STEPTRONICCHF 12'900AB CHF 207 / MONAT4.5 / 6OCCASION09.2016153.000 KMAUTOMATDIESEL2540 (SO)PREISCHF 12'900FINANZIERUNGAB CHF 207 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 12'900,218d Active Tourer Steptronic,Occasion09.2016153.000 kmAutomatDiesel2540 (SO),SO,2540,153.000,2016,12900,153000,0,0,0,1,120k+,19125.0,high
1705078078-202,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=79,BMW 216 ACTIVE TOURER 216D ACTIVE TOURERCHF 15'800AB CHF 253 / MONAT5 / 6OCCASION10.2018100.000 KMMANUELLDIESEL2540 (SO)PREISCHF 15'800FINANZIERUNGAB CHF 253 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 15'800,216d Active Tourer,Occasion10.2018100.000 kmManuellDiesel2540 (SO),SO,2540,100.000,2018,15800,100000,0,0,0,0,50-120k,16666.67,high
1705078078-203,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=79,BMW M2 M2 STEPTRONICCHF 66'800AB CHF 1'069 / MONAT5 / 6OCCASION06.202313.300 KMAUTOMATBENZIN8580 (TG)PREISCHF 66'800FINANZIERUNGAB CHF 1'069 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 66'800,M2 Steptronic,Occasion06.202313.300 kmAutomatBenzin8580 (TG),TG,8580,13.300,2023,66800,13300,0,0,0,1,0-50k,13300.0,medium
1705078078-204,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=79,BMW M240 M240I XDRIVE STEPTRONICCHF 36'900AB CHF 591 / MONAT5 / 6OCCASION08.201611.500 KMAUTOMATBENZIN8542 (ZH)PREISCHF 36'900FINANZIERUNGAB CHF 591 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 36'900,M240i xDrive Steptronic,Occasion08.201611.500 kmAutomatBenzin8542 (ZH),ZH,8542,11.500,2016,36900,11500,0,0,1,1,0-50k,1437.5,low
1705078078-205,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=79,BMW 120 120D XDRIVE STEPTRONIC M SPORTCHF 23'998AB CHF 384 / MONAT5 / 6OCCASION04.2020138.000 KMAUTOMATDIESEL9466 (SG)PREISCHF 23'998FINANZIERUNGAB CHF 384 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 23'998,120d xDrive Steptronic M Sport,Occasion04.2020138.000 kmAutomatDiesel9466 (SG),SG,9466,138.000,2020,23998,138000,0,0,1,1,120k+,34500.0,high
1705078078-206,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=79,BMW M3 M3 COMPETITION DRIVELOGICCHF 86'500AB CHF 1'385 / MONAT3 / 6OCCASION08.201832.000 KMAUTOMATBENZIN8645 (SG)PREISCHF 86'500FINANZIERUNGAB CHF 1'385 / MONAT3 / 6ANFRAGEN MERKENDETAILS,CHF 86'500,M3 Competition Drivelogic,Occasion08.201832.000 kmAutomatBenzin8645 (SG),SG,8645,32.000,2018,86500,32000,0,1,0,1,0-50k,5333.33,low
1705078078-207,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=79,BMW 528 528ICHF 25'000AB CHF 400 / MONATOCCASION09.1999186.000 KMAUTOMATBENZIN8713 (ZH)PREISCHF 25'000FINANZIERUNGAB CHF 400 / MONATANFRAGEN MERKENDETAILS,CHF 25'000,528i,Occasion09.1999186.000 kmAutomatBenzin8713 (ZH),ZH,8713,186.000,1999,25000,186000,0,0,0,1,120k+,7440.0,low
1705078078-208,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=79,BMW 540 540I XDRIVE STEPTRONICCHF 36'900AB CHF 591 / MONAT4 / 6OCCASION06.2017120.500 KMAUTOMATBENZIN8107 (ZH)PREISCHF 36'900FINANZIERUNGAB CHF 591 / MONAT4 / 6ANFRAGEN MERKENDETAILS,CHF 36'900,540i xDrive Steptronic,Occasion06.2017120.500 kmAutomatBenzin8107 (ZH),ZH,8107,120.500,2017,36900,120500,0,0,1,1,120k+,17214.29,high
1705078078-209,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=79,BMW 340 340I XDRIVE POWER & SOUND EDITION STEPTRONICCHF 39'000AB CHF 624 / MONAT4.5 / 6OCCASION09.201799.000 KMAUTOMATBENZIN8607 (ZH)PREISCHF 39'000FINANZIERUNGAB CHF 624 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 39'000,340i xDrive Power & Sound Edition Steptronic,Occasion09.201799.000 kmAutomatBenzin8607 (ZH),ZH,8607,99.000,2017,39000,99000,0,0,1,1,50-120k,14142.86,medium
1705078078-210,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=79,BMW M2 M2 COMPETITION DRIVELOGICCHF 64'900AB CHF 1'039 / MONAT3.5 / 6OCCASION04.201935.000 KMAUTOMATBENZIN5036 (AG)PREISCHF 64'900FINANZIERUNGAB CHF 1'039 / MONAT3.5 / 6ANFRAGEN MERKENDETAILS,CHF 64'900,M2 Competition Drivelogic,Occasion04.201935.000 kmAutomatBenzin5036 (AG),AG,5036,35.000,2019,64900,35000,0,1,0,1,0-50k,7000.0,low
1705078081-211,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=78,BMW 530 530XI TOURINGCHF 1'900OCCASION09.2005280.000 KMAUTOMATBENZIN1070 (VD)PREISCHF 1'900ANFRAGEN MERKENDETAILS,CHF 1'900,530xi Touring,Occasion09.2005280.000 kmAutomatBenzin1070 (VD),VD,1070,280.000,2005,1900,280000,0,0,0,1,120k+,14736.84,medium
1705078081-212,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=78,BMW 530 530D XDRIVE TOURING STEPTRONICCHF 15'990AB CHF 256 / MONAT5 / 6OCCASION08.2012180.000 KMAUTOMATDIESEL8153 (ZH)PREISCHF 15'990FINANZIERUNGAB CHF 256 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 15'990,530d xDrive Touring Steptronic,Occasion08.2012180.000 kmAutomatDiesel8153 (ZH),ZH,8153,180.000,2012,15990,180000,0,0,1,1,120k+,15000.0,medium
1705078081-213,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=78,BMW 320 320D XDRIVE STEPTRONICCHF 13'490AB CHF 216 / MONAT5.5 / 6OCCASION08.201190.300 KMAUTOMATDIESEL8424 (ZH)PREISCHF 13'490FINANZIERUNGAB CHF 216 / MONAT5.5 / 6ANFRAGEN MERKENDETAILS,CHF 13'490,320d xDrive Steptronic,Occasion08.201190.300 kmAutomatDiesel8424 (ZH),ZH,8424,90.300,2011,13490,90300,0,0,1,1,50-120k,6946.15,low
1705078081-214,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=78,BMW 116 116D STEPTRONICCHF 17'900AB CHF 287 / MONAT5 / 6OCCASION04.201648.000 KMAUTOMATDIESEL2540 (SO)PREISCHF 17'900FINANZIERUNGAB CHF 287 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 17'900,116d Steptronic,Occasion04.201648.000 kmAutomatDiesel2540 (SO),SO,2540,48.000,2016,17900,48000,0,0,0,1,0-50k,6000.0,low
1705078081-215,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=78,BMW M6 M6 GRAN COUPÉ DRIVELOGICCHF 61'920AB CHF 991 / MONAT4.5 / 6OCCASION04.2016116.500 KMAUTOMATBENZIN9494 (FL)PREISCHF 61'920FINANZIERUNGAB CHF 991 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 61'920,M6 Gran Coupé Drivelogic,Occasion04.2016116.500 kmAutomatBenzin9494 (FL),FL,9494,116.500,2016,61920,116500,0,0,0,1,50-120k,14562.5,medium
1705078081-216,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=78,BMW 216 ACTIVE TOURER 216D ACTIVE TOURER DKGCHF 21'900AB CHF 351 / MONAT5 / 6OCCASION09.201822.000 KMAUTOMATDIESEL2540 (SO)PREISCHF 21'900FINANZIERUNGAB CHF 351 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 21'900,216d Active Tourer DKG,Occasion09.201822.000 kmAutomatDiesel2540 (SO),SO,2540,22.000,2018,21900,22000,0,0,0,1,0-50k,3666.67,low
1705078081-217,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=78,BMW M135 M135I XDRIVE STEPTRONICCHF 14'900AB CHF 239 / MONAT4 / 6OCCASION06.2014208.000 KMAUTOMATBENZIN8854 (SZ)PREISCHF 14'900FINANZIERUNGAB CHF 239 / MONAT4 / 6ANFRAGEN MERKENDETAILS,CHF 14'900,M135i xDrive Steptronic,Occasion06.2014208.000 kmAutomatBenzin8854 (SZ),SZ,8854,208.000,2014,14900,208000,0,0,1,1,120k+,20800.0,high
1705078081-218,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=78,BMW 320 320D XDRIVE STEPTRONICCHF 23'900AB CHF 383 / MONAT4.5 / 6OCCASION02.2019115.000 KMAUTOMATDIESEL2540 (SO)PREISCHF 23'900FINANZIERUNGAB CHF 383 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 23'900,320d xDrive Steptronic,Occasion02.2019115.000 kmAutomatDiesel2540 (SO),SO,2540,115.000,2019,23900,115000,0,0,1,1,50-120k,23000.0,high
1705078081-219,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=78,BMW 320 320D XDRIVE TOURING STEPTRONICCHF 18'500AB CHF 296 / MONAT5 / 6OCCASION01.2019124.000 KMAUTOMATDIESEL2540 (SO)PREISCHF 18'500FINANZIERUNGAB CHF 296 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 18'500,320d xDrive Touring Steptronic,Occasion01.2019124.000 kmAutomatDiesel2540 (SO),SO,2540,124.000,2019,18500,124000,0,0,1,1,120k+,24800.0,high
1705078081-220,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=78,BMW 325 325I STEPTRONICCHF 2'900OCCASION12.2007125.000 KMAUTOMATBENZIN3426 (BE)PREISCHF 2'900ANFRAGEN MERKENDETAILS,CHF 2'900,325i Steptronic,Occasion12.2007125.000 kmAutomatBenzin3426 (BE),BE,3426,125.000,2007,2900,125000,0,0,0,1,120k+,7352.94,low
1705078084-221,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=77,BMW M4 M4 CABRIO COMPETITION M XDRIVECHF 91'500AB CHF 1'465 / MONAT5 / 6OCCASION10.20226.200 KMAUTOMATBENZIN8051 (ZH)PREISCHF 91'500FINANZIERUNGAB CHF 1'465 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 91'500,M4 Cabrio Competition M xDrive,Occasion10.20226.200 kmAutomatBenzin8051 (ZH),ZH,8051,6.200,2022,91500,6200,0,1,1,1,0-50k,3100.0,low
1705078084-222,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=77,BMW 320 320D XDRIVE TOURING LUXURY LINE STEPTRONICCHF 27'900AB CHF 447 / MONAT5 / 6OCCASION07.2020100.600 KMAUTOMATDIESEL6340 (ZH)PREISCHF 27'900FINANZIERUNGAB CHF 447 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 27'900,320d xDrive Touring Luxury Line Steptronic,Occasion07.2020100.600 kmAutomatDiesel6340 (ZH),ZH,6340,100.600,2020,27900,100600,1,0,1,1,50-120k,25150.0,high
1705078084-223,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=77,BMW 218 ACTIVE TOURER 218D ACTIVE TOURER M SPORT DKGCHF 34'500AB CHF 552 / MONAT5 / 6OCCASION07.20225.700 KMAUTOMATDIESEL8051 (ZH)PREISCHF 34'500FINANZIERUNGAB CHF 552 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 34'500,218d Active Tourer M Sport DKG,Occasion07.20225.700 kmAutomatDiesel8051 (ZH),ZH,8051,5.700,2022,34500,5700,0,0,0,1,0-50k,2850.0,low
1705078084-224,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=77,BMW 520 520D XDRIVE TOURING STEPTRONICCHF 33'900AB CHF 543 / MONAT5 / 6OCCASION05.201977.000 KMAUTOMATDIESEL5417 (AG)PREISCHF 33'900FINANZIERUNGAB CHF 543 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 33'900,520d xDrive Touring Steptronic,Occasion05.201977.000 kmAutomatDiesel5417 (AG),AG,5417,77.000,2019,33900,77000,0,0,1,1,50-120k,15400.0,high
1705078084-225,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=77,BMW 116 116ICHF 8'500AB CHF 136 / MONAT4.5 / 6OCCASION12.2013173.000 KMMANUELLBENZIN8143 (ZH)PREISCHF 8'500FINANZIERUNGAB CHF 136 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 8'500,116i,Occasion12.2013173.000 kmManuellBenzin8143 (ZH),ZH,8143,173.000,2013,8500,173000,0,0,0,0,120k+,15727.27,high
1705078084-226,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=77,BMW 320 320D EDITION M SPORT STEPTRONICCHF 26'900AB CHF 431 / MONAT5 / 6OCCASION12.201966.500 KMAUTOMATDIESEL8717 (SG)PREISCHF 26'900FINANZIERUNGAB CHF 431 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 26'900,320d Edition M Sport Steptronic,Occasion12.201966.500 kmAutomatDiesel8717 (SG),SG,8717,66.500,2019,26900,66500,0,0,0,1,50-120k,13300.0,medium
1705078084-227,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=77,BMW X7 X7 XDRIVE 48V 40D STEPTRONICCHF 87'900AB CHF 1'407 / MONAT4.5 / 6OCCASION03.202240.700 KMAUTOMATELEKTRO/DIESEL6004 (LU)PREISCHF 87'900FINANZIERUNGAB CHF 1'407 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 87'900,X7 xDrive 48V 40d Steptronic,Occasion03.202240.700 kmAutomatElektro/Diesel6004 (LU),LU,6004,40.700,2022,87900,40700,0,0,1,1,0-50k,20350.0,high
1705078084-228,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=77,BMW 1ER M COUPÉ 1ER M COUPÉCHF 54'900AB CHF 879 / MONATOCCASION04.2012110.000 KMMANUELLBENZIN1868 (VS)PREISCHF 54'900FINANZIERUNGAB CHF 879 / MONATANFRAGEN MERKENDETAILS,CHF 54'900,1er M Coupé,Occasion04.2012110.000 kmManuellBenzin1868 (VS),VS,1868,110.000,2012,54900,110000,0,0,0,0,50-120k,9166.67,low
1705078084-229,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=77,BMW M4 M4 CSL COUPÉCHF 162'800AB CHF 2'606 / MONAT5 / 6OCCASION05.20231.000 KMAUTOMATBENZIN8580 (TG)PREISCHF 162'800FINANZIERUNGAB CHF 2'606 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 162'800,M4 CSL Coupé,Occasion05.20231.000 kmAutomatBenzin8580 (TG),TG,8580,1.000,2023,162800,1000,0,0,0,1,0-50k,1000.0,low
1705078084-230,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=77,BMW M340 M340I XDRIVETOURING STEPTRONIC M SPORTCHF 57'900AB CHF 927 / MONAT4 / 6OCCASION03.202037.400 KMAUTOMATBENZIN8542 (ZH)PREISCHF 57'900FINANZIERUNGAB CHF 927 / MONAT4 / 6ANFRAGEN MERKENDETAILS,CHF 57'900,M340i xDriveTouring Steptronic M Sport,Occasion03.202037.400 kmAutomatBenzin8542 (ZH),ZH,8542,37.400,2020,57900,37400,0,0,1,1,0-50k,9350.0,low
1705078088-231,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=76,BMW 320 320D XDRIVE M SPORT STEPTRONICCHF 34'998AB CHF 560 / MONAT3 / 6OCCASION03.2019122.000 KMAUTOMATDIESEL9466 (SG)PREISCHF 34'998FINANZIERUNGAB CHF 560 / MONAT3 / 6ANFRAGEN MERKENDETAILS,CHF 34'998,320d xDrive M Sport Steptronic,Occasion03.2019122.000 kmAutomatDiesel9466 (SG),SG,9466,122.000,2019,34998,122000,0,0,1,1,120k+,24400.0,high
1705078088-232,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=76,BMW 320 320D TOURING MORE4YOU STEPTRONICCHF 6'900AB CHF 110 / MONAT5.5 / 6OCCASION03.2009173.000 KMAUTOMATDIESEL4564 (BE)PREISCHF 6'900FINANZIERUNGAB CHF 110 / MONAT5.5 / 6ANFRAGEN MERKENDETAILS,CHF 6'900,320d Touring more4you Steptronic,Occasion03.2009173.000 kmAutomatDiesel4564 (BE),BE,4564,173.000,2009,6900,173000,0,0,0,1,120k+,11533.33,medium
1705078088-233,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=76,BMW 318 318D TOURING SPORT LINE STEPTRONICCHF 9'600AB CHF 154 / MONAT4.5 / 6OCCASION04.2014262.000 KMAUTOMATDIESEL4512 (SO)PREISCHF 9'600FINANZIERUNGAB CHF 154 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 9'600,318d Touring Sport Line Steptronic,Occasion04.2014262.000 kmAutomatDiesel4512 (SO),SO,4512,262.000,2014,9600,262000,0,0,0,1,120k+,26200.0,high
1705078088-234,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=76,BMW M550 M550D XDRIVE STEPTRONICCHF 32'900AB CHF 527 / MONAT4.5 / 6OCCASION06.2016128.250 KMAUTOMATDIESEL4632 (SO)PREISCHF 32'900FINANZIERUNGAB CHF 527 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 32'900,M550d xDrive Steptronic,Occasion06.2016128.250 kmAutomatDiesel4632 (SO),SO,4632,128.250,2016,32900,128250,0,0,1,1,120k+,16031.25,high
1705078088-235,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=76,BMW M3 M3 COUPÉ DSGCHF 66'900AB CHF 1'071 / MONATOCCASION01.201171.000 KMAUTOMATBENZIN8046 (ZH)PREISCHF 66'900FINANZIERUNGAB CHF 1'071 / MONATANFRAGEN MERKENDETAILS,CHF 66'900,M3 Coupé DSG,Occasion01.201171.000 kmAutomatBenzin8046 (ZH),ZH,8046,71.000,2011,66900,71000,0,0,0,1,50-120k,5461.54,low
1705078088-236,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=76,BMW M4 M4 COUPÉ COMPETITIONCHF 84'000AB CHF 1'345 / MONAT4.5 / 6OCCASION12.202143.000 KMAUTOMATBENZIN5452 (AG)PREISCHF 84'000FINANZIERUNGAB CHF 1'345 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 84'000,M4 Coupé Competition,Occasion12.202143.000 kmAutomatBenzin5452 (AG),AG,5452,43.000,2021,84000,43000,0,1,0,1,0-50k,14333.33,medium
1705078088-237,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=76,BMW X5 X5 XDRIVE M50D STEPTRONICCHF 58'500AB CHF 937 / MONAT3 / 6OCCASION05.2019155.000 KMAUTOMATDIESEL3627 (BE)PREISCHF 58'500FINANZIERUNGAB CHF 937 / MONAT3 / 6ANFRAGEN MERKENDETAILS,CHF 58'500,X5 xDrive M50d Steptronic,Occasion05.2019155.000 kmAutomatDiesel3627 (BE),BE,3627,155.000,2019,58500,155000,0,0,1,1,120k+,31000.0,high
1705078088-238,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=76,BMW 320 320D XDRIVE 48V STEPTRONICCHF 32'980AB CHF 528 / MONAT5 / 6OCCASION02.202133.590 KMAUTOMATELEKTRO/DIESEL8604 (ZH)PREISCHF 32'980FINANZIERUNGAB CHF 528 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 32'980,320d xDrive 48V Steptronic,Occasion02.202133.590 kmAutomatElektro/Diesel8604 (ZH),ZH,8604,33.590,2021,32980,33590,0,0,1,1,0-50k,11196.67,medium
1705078088-239,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=76,BMW M440 M440I XDRIVE 48V CABRIOLET STEPTRONICCHF 79'900AB CHF 1'279 / MONAT4.5 / 6OCCASION07.20234.400 KMAUTOMATBENZIN/ELEKTRO1726 (FR)PREISCHF 79'900FINANZIERUNGAB CHF 1'279 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 79'900,M440i xDrive 48V Cabriolet Steptronic,Occasion07.20234.400 kmAutomatBenzin/Elektro1726 (FR),FR,1726,4.400,2023,79900,4400,0,0,1,1,0-50k,4400.0,low
1705078088-240,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=76,BMW 520 520D XDRIVE TOURING STEPTRONICCHF 31'900AB CHF 511 / MONAT5 / 6OCCASION12.201987.100 KMAUTOMATDIESEL5417 (AG)PREISCHF 31'900FINANZIERUNGAB CHF 511 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 31'900,520d xDrive Touring Steptronic,Occasion12.201987.100 kmAutomatDiesel5417 (AG),AG,5417,87.100,2019,31900,87100,0,0,1,1,50-120k,17420.0,high
1705078091-241,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=75,BMW X4 X4 XDRIVE 28I STEPTRONICCHF 34'900AB CHF 559 / MONAT3.5 / 6OCCASION06.201779.000 KMAUTOMATBENZIN3852 (BE)PREISCHF 34'900FINANZIERUNGAB CHF 559 / MONAT3.5 / 6ANFRAGEN MERKENDETAILS,CHF 34'900,X4 xDrive 28i Steptronic,Occasion06.201779.000 kmAutomatBenzin3852 (BE),BE,3852,79.000,2017,34900,79000,0,0,1,1,50-120k,11285.71,medium
1705078091-242,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=75,BMW 525 525D TOURING XDRIVE LUXURY LINE STEPTRONICCHF 24'500AB CHF 392 / MONAT4.5 / 6OCCASION03.2015118.000 KMAUTOMATDIESEL1046 (VD)PREISCHF 24'500FINANZIERUNGAB CHF 392 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 24'500,525d Touring xDrive Luxury Line Steptronic,Occasion03.2015118.000 kmAutomatDiesel1046 (VD),VD,1046,118.000,2015,24500,118000,1,0,1,1,50-120k,13111.11,medium
1705078091-243,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=75,BMW 528 528I TOURING XDRIVE STEPTRONICCHF 16'900AB CHF 271 / MONAT5 / 6OCCASION11.2015153.000 KMAUTOMATBENZIN8108 (ZH)PREISCHF 16'900FINANZIERUNGAB CHF 271 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 16'900,528i Touring xDrive Steptronic,Occasion11.2015153.000 kmAutomatBenzin8108 (ZH),ZH,8108,153.000,2015,16900,153000,0,0,1,1,120k+,17000.0,high
1705078091-244,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=75,BMW 320 320D XDRIVE TOURINGCHF 2'400OCCASION11.2011220.000 KMMANUELLDIESEL3977 (VS)PREISCHF 2'400ANFRAGEN MERKENDETAILS,CHF 2'400,320d xDrive Touring,Occasion11.2011220.000 kmManuellDiesel3977 (VS),VS,3977,220.000,2011,2400,220000,0,0,1,0,120k+,16923.08,high
1705078091-245,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=75,BMW X5 X5 XDRIVE 48V 40D M SPORT STEPTRONICCHF 77'999AB CHF 1'249 / MONAT5 / 6OCCASION09.202222.000 KMAUTOMATELEKTRO/DIESEL3178 (FR)PREISCHF 77'999FINANZIERUNGAB CHF 1'249 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 77'999,X5 xDrive 48V 40d M Sport Steptronic,Occasion09.202222.000 kmAutomatElektro/Diesel3178 (FR),FR,3178,22.000,2022,77999,22000,0,0,1,1,0-50k,11000.0,medium
1705078091-246,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=75,BMW 320 320D XDRIVE TOURING MODERN LINE STEPTRONICCHF 12'700AB CHF 203 / MONAT5 / 6OCCASION06.2014157.000 KMAUTOMATDIESEL4900 (BE)PREISCHF 12'700FINANZIERUNGAB CHF 203 / MONAT5 / 6ANFRAGEN MERKENDETAILS,CHF 12'700,320d xDrive Touring Modern Line Steptronic,Occasion06.2014157.000 kmAutomatDiesel4900 (BE),BE,4900,157.000,2014,12700,157000,0,0,1,1,120k+,15700.0,high
1705078091-247,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=75,BMW X5 X5 XDRIVE M50D EDITION 20 JAHRE STEPTRONICCHF 75'500AB CHF 1'209 / MONAT4 / 6OCCASION08.201972.000 KMAUTOMATDIESEL3627 (BE)PREISCHF 75'500FINANZIERUNGAB CHF 1'209 / MONAT4 / 6ANFRAGEN MERKENDETAILS,CHF 75'500,X5 xDrive M50d Edition 20 Jahre Steptronic,Occasion08.201972.000 kmAutomatDiesel3627 (BE),BE,3627,72.000,2019,75500,72000,0,0,1,1,50-120k,14400.0,medium
1705078091-248,https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=75,BMW 320 320I M SPORT STEPTRONICCHF 26'000AB CHF 416 / MONAT4.5 / 6OCCASION06.201782.000 KMAUTOMATBENZIN3422 (BE)PREISCHF 26'000FINANZIERUNGAB CHF 416 / MONAT4.5 / 6ANFRAGEN MERKENDETAILS,CHF 26'000,320i M Sport Steptronic,Occasion06.201782.000 kmAutomatBenzin3422 (BE),BE,3422,82.000,2017,26000,82000,0,0,0,1,50-120k,11714.29,medium
