web-scraper-order,model_raw,Location,PLZ,Year,price,km,luxury,competition,xDrive,automat,km_cat,km_per_year,lat,lon
1705078016-45,335i Cabriolet Steptronic,AG,5445,2007,7000,175000.0,0,0,0,1,120k+,10294.12,47.376808166503906,8.348030090332031
1705078016-46,330i Touring xDrive Steptronic M Sport,SZ,6430,2019,35000,90947.0,0,0,1,1,50-120k,18189.4,47.03580093383789,8.64914321899414
1705078016-47,M850i xDrive Steptronic,SG,9434,2021,71900,64300.0,0,0,1,1,50-120k,21433.33,47.43368148803711,9.634199142456055
1705078016-48,M3 Coupé,AG,5430,2008,54999,107500.0,0,0,0,0,50-120k,6718.75,47.463890075683594,8.345504760742188
1705078016-49,M135i xDrive Steptronic,GR,7013,2015,23400,137575.0,0,0,1,1,120k+,15286.11,46.830135345458984,9.437292098999023
1705078016-50,118i,AG,8957,2006,7900,86600.0,0,0,0,1,50-120k,4811.11,47.41796112060547,8.355324745178223
1705078020-51,530d xDrive Touring Steptronic,GR,7000,2011,6800,270000.0,0,0,1,1,120k+,20769.23,46.864017486572266,9.535412788391113
1705078020-52,M550d xDrive Touring Steptronic,GR,7000,2012,8900,223000.0,0,0,1,1,120k+,18583.33,46.864017486572266,9.535412788391113
1705078020-53,X5 xDrive M50d Steptronic,LU,6012,2017,39900,102000.0,0,0,1,1,50-120k,14571.43,47.02312088012695,8.2351655960083
1705078020-54,535d Steptronic,SO,2545,2008,6900,303000.0,0,0,0,1,120k+,18937.5,47.22818374633789,7.618456840515137
1705078020-55,525d Touring Steptronic,VD,1007,2010,8900,188000.0,0,0,0,1,120k+,13428.57,47.01467514038086,8.027257919311523
1705078020-56,M4 Coupé CS DKG,BE,2542,2017,83000,39000.0,0,0,0,1,0-50k,5571.43,47.21414566040039,7.507473468780518
1705078020-57,330e iPerformance Steptronic,VD,1022,2017,23000,140000.0,0,0,0,1,120k+,20000.0,46.536399841308594,6.57748556137085
1705078020-58,X5 xDrive 30d Steptronic,BL,4133,2014,22500,225000.0,0,0,1,1,120k+,22500.0,47.520835876464844,7.688999652862549
1705078020-59,325xi,VD,1584,2000,8200,105000.0,0,0,0,1,50-120k,4375.0,46.90645217895508,6.990161418914795
1705078020-60,335i Coupé,ZH,8310,2006,7990,173000.0,0,0,0,1,120k+,9611.11,47.443519592285156,8.700520515441895
1705078023-61,535i xDrive Touring Steptronic,ZG,6331,2011,13000,227000.0,0,0,1,1,120k+,17461.54,47.1795768737793,8.428206443786621
1705078023-62,i3 (94Ah) Range Extender,BL,4415,2017,18900,60061.0,0,0,0,1,50-120k,8580.14,47.4719352722168,7.764100074768066
1705078023-63,X5M Steptronic,ZH,8172,2017,61800,80800.0,0,0,0,1,50-120k,11542.86,47.492496490478516,8.496959686279297
1705078023-64,M340i xDrive 48V Touring Steptronic,SG,9434,2020,44500,89900.0,0,0,1,1,50-120k,22475.0,47.43368148803711,9.634199142456055
1705078023-65,525d xDrive Touring Steptronic,BE,3250,2012,7999,245000.0,0,0,1,1,120k+,20416.67,47.067474365234375,7.302119731903076
1705078023-66,325i Cabriolet Steptronic,ZH,8633,2007,8900,186900.0,0,0,0,1,120k+,10994.12,47.25492858886719,8.796624183654785
1705078023-67,320d Touring,ZH,8404,2003,4490,228000.0,0,0,0,1,120k+,10857.14,47.51799392700195,8.762868881225586
1705078023-68,X5 xDrive 30d Steptronic,GR,7000,2014,26500,137000.0,0,0,1,1,120k+,13700.0,46.864017486572266,9.535412788391113
1705078023-69,118d,GR,7000,2005,5500,132000.0,0,0,0,0,120k+,6947.37,46.864017486572266,9.535412788391113
1705078023-70,118d xDrive,GR,7000,2014,5900,160000.0,0,0,1,0,120k+,16000.0,46.864017486572266,9.535412788391113
1705078027-71,120i Steptronic,VD,1030,2008,2900,180000.0,0,0,0,1,120k+,11250.0,46.550113677978516,6.557084560394287
1705078027-72,118d xDrive Edition M Sport,GR,7000,2018,17990,139000.0,0,0,1,0,120k+,23166.67,46.864017486572266,9.535412788391113
1705078027-73,X1 xDrive 20d,GR,7000,2010,11800,129000.0,0,0,1,0,120k+,9214.29,46.864017486572266,9.535412788391113
1705078027-74,X1 xDrive 20d,GR,7000,2009,5200,210000.0,0,0,1,0,120k+,14000.0,46.864017486572266,9.535412788391113
1705078027-75,X1 xDrive 20d,GR,7000,2010,6500,174000.0,0,0,1,0,120k+,12428.57,46.864017486572266,9.535412788391113
1705078027-76,X5 xDrive 50i Steptronic,SZ,6405,2015,41500,114000.0,0,0,1,1,50-120k,12666.67,47.10770034790039,8.459235191345215
1705078027-77,X3 xDrive M40i Steptronic,ZH,8157,2018,38200,110000.0,0,0,1,1,50-120k,18333.33,47.48373031616211,8.451621055603027
1705078027-78,216d Gran Tourer Luxury Line Steptronic,LU,6020,2016,12900,123000.0,1,0,0,1,120k+,15375.0,47.07497024536133,8.270981788635254
1705078027-79,X1 xDrive 23d Steptronic,ZH,8405,2010,11900,190000.0,0,0,1,1,120k+,13571.43,47.48430633544922,8.75904369354248
1705078027-80,X3 xDrive 20d Individual xLine Steptronic,GR,7000,2018,24800,226000.0,0,0,1,1,120k+,37666.67,46.864017486572266,9.535412788391113
1705078031-81,X1 xDrive 25e M Sport Steptronic,ZH,8352,2022,40700,22500.0,0,0,1,1,0-50k,11250.0,47.5051383972168,8.80135440826416
1705078031-82,i3s (120Ah) Fleet Edition,AG,5615,2019,23900,76000.0,0,0,0,1,50-120k,15200.0,47.2955322265625,8.246530532836914
1705078031-83,X6 M50d Steptronic,LU,6214,2015,35900,118500.0,0,0,0,1,50-120k,13166.67,47.183902740478516,8.126945495605469
1705078031-84,X5 xDrive 48V 30d M Sport Steptronic,BE,3852,2022,81500,21000.0,0,0,1,1,0-50k,10500.0,46.70412063598633,7.897862911224365
1705078031-85,M5 xDrive CS Drivelogic,AG,5702,5702,169900,,0,0,1,1,,,46.459197998046875,6.213508605957031
1705078031-86,M2 Competition,AG,5702,2020,54900,15499.0,0,1,0,1,0-50k,3874.75,46.459197998046875,6.213508605957031
1705078031-87,330xd,LU,6020,2008,5900,225000.0,0,0,0,1,120k+,14062.5,47.07497024536133,8.270981788635254
1705078031-88,X1 xDrive 18d Sport Line Steptronic,LU,6020,2014,8900,394000.0,0,0,1,1,120k+,39400.0,47.07497024536133,8.270981788635254
1705078031-89,X6M Steptronic M Competition,SG,8730,2024,199800,,0,1,0,1,,,47.21653366088867,8.969256401062012
1705078031-90,220d xDrive Gran Tourer Luxury Line Steptronic,GR,7000,2016,10800,175000.0,1,0,1,1,120k+,21875.0,46.864017486572266,9.535412788391113
1705078034-91,X3 xDrive 48V M40d Steptronic,AG,5702,2022,69900,22745.0,0,0,1,1,0-50k,11372.5,46.459197998046875,6.213508605957031
1705078034-92,650i Coupé xDrive,AG,5702,2015,44900,57199.0,0,0,1,1,50-120k,6355.44,46.459197998046875,6.213508605957031
1705078034-93,740d xDrive Steptronic,AG,5702,2020,65900,44900.0,0,0,1,1,0-50k,11225.0,46.459197998046875,6.213508605957031
1705078034-94,M850i xDrive Steptronic,AG,5702,2019,79900,46270.0,0,0,1,1,0-50k,9254.0,46.459197998046875,6.213508605957031
1705078034-95,X1 xDrive 25d Steptronic,JU,2800,2019,33400,89200.0,0,0,1,1,50-120k,17840.0,47.36297607421875,7.352839469909668
1705078034-96,X5 xDrive 30d Steptronic,AG,5707,2010,15000,300000.0,0,0,1,1,120k+,21428.57,47.319435119628906,8.18951416015625
1705078034-97,320i,ZH,8447,2001,3200,270000.0,0,0,0,0,120k+,11739.13,47.66468048095703,8.617429733276367
1705078034-98,335d Touring Steptronic,VD,1030,2007,5500,320000.0,0,0,0,1,120k+,18823.53,46.550113677978516,6.557084560394287
1705078034-99,218d xDrive Active Tourer M Sport Steptronic,VD,1030,2016,12500,123500.0,0,0,1,1,120k+,15437.5,46.550113677978516,6.557084560394287
1705078034-100,118d,BE,4564,2019,9900,210000.0,0,0,0,0,120k+,42000.0,47.15623092651367,7.5845112800598145
1705078037-101,X4M M Competition Steptronic,SG,9422,2020,62900,43000.0,0,1,0,1,0-50k,10750.0,47.47713088989258,9.541512489318848
1705078037-102,320d Touring Sport Line Steptronic,FR,3185,2013,14950,151000.0,0,0,0,1,120k+,13727.27,46.845802307128906,7.2523956298828125
1705078037-103,X3 xDrive 30i Travel Steptronic,TI,6500,6500,95200,,0,0,1,1,,,46.188255310058594,9.0117769241333
1705078037-104,530d xDrive Touring Steptronic,SG,9242,2018,29900,112900.0,0,0,1,1,50-120k,18816.67,47.430015563964844,9.139251708984375
1705078037-105,M3 Cabriolet,AG,5503,2004,33700,126500.0,0,0,0,1,120k+,6325.0,47.37541580200195,8.140049934387207
1705078037-106,X1 xDrive 23i 48V,UR,6467,2023,59811,6000.0,0,0,1,1,0-50k,6000.0,46.869544982910156,8.650934219360352
1705078037-107,220i Steptronic M Sport,FR,1726,2020,33900,34500.0,0,0,0,1,0-50k,8625.0,46.718807220458984,7.061389446258545
1705078037-108,X5 xDrive 30d xLine Steptronic,GE,1203,2019,53900,84000.0,0,0,1,1,50-120k,16800.0,46.846282958984375,8.595780372619629
1705078037-109,X5 xDrive 40d Steptronic,ZH,8304,2012,23500,132000.0,0,0,1,1,120k+,11000.0,47.417232513427734,8.589406967163086
1705078037-110,X3 xDrive 30e,GL,8750,2022,61900,19800.0,0,0,1,1,0-50k,9900.0,47.03010559082031,9.067581176757812
1705078040-111,440i Coupé xDrive Power & Sound Ed. Steptronic,BE,4900,2017,38890,83000.0,0,0,1,1,50-120k,11857.14,47.213680267333984,7.771233081817627
1705078040-112,X7 xDrive M50d Steptronic,LU,6144,2019,81600,97000.0,0,0,1,1,50-120k,19400.0,47.11722183227539,7.927319049835205
1705078040-113,430i xDrive Gran Coupé M Sport Steptronic,SO,4614,2023,63500,15900.0,0,0,1,1,0-50k,15900.0,47.3318977355957,7.83531379699707
1705078040-114,X3 xDrive 20d Individual M Sport Steptronic,TI,6594,2020,39900,78500.0,0,0,1,1,50-120k,19625.0,46.15370559692383,8.924446105957031
1705078040-115,118i Essential Edition,TG,9542,2022,28890,12200.0,0,0,0,1,0-50k,6100.0,47.47294616699219,8.975417137145996
1705078040-116,X5 xDrive 30d Steptronic,ZH,8833,2020,69900,37000.0,0,0,1,1,0-50k,9250.0,47.19573974609375,8.694278717041016
1705078040-117,540i xDrive Touring Steptronic,SG,8887,2017,36900,69000.0,0,0,1,1,50-120k,9857.14,47.04740905761719,9.419466972351074
1705078040-118,118i Essential Edition,TG,9542,2022,28890,11900.0,0,0,0,1,0-50k,5950.0,47.47294616699219,8.975417137145996
1705078040-119,220i Gran Tourer Sport Line,GE,1217,2017,29000,54000.0,0,0,0,0,50-120k,7714.29,46.94955062866211,8.62220287322998
1705078040-120,X1 xDrive 23d Steptronic,SG,9475,2010,10900,153900.0,0,0,1,1,120k+,10992.86,47.128578186035156,9.490763664245605
1705078044-121,320d xDrive Touring Steptronic,ZG,6330,2020,29990,78000.0,0,0,1,1,50-120k,19500.0,47.20186233520508,8.453487396240234
1705078044-122,X5 xDrive 30d Steptronic,ZG,6330,2019,68980,32000.0,0,0,1,1,0-50k,6400.0,47.20186233520508,8.453487396240234
1705078044-123,220i Sport Line Steptronic,FR,1784,2015,13990,158000.0,0,0,0,1,120k+,17555.56,46.85999298095703,7.1276140213012695
1705078044-124,X3 xDrive M Competition Steptronic,BE,3006,2019,57400,83000.0,0,1,1,1,50-120k,16600.0,47.317413330078125,9.283180236816406
1705078044-125,420d Gran Coupé M Sport Steptronic,SH,8200,2017,18000,188000.0,0,0,0,1,120k+,26857.14,47.70847702026367,8.641925811767578
1705078044-126,550i xDrive GT Steptronic,BE,3000,2010,12490,169000.0,0,0,1,1,120k+,12071.43,47.17508316040039,9.461174964904785
1705078044-127,635CSi A,BE,3110,1986,18900,162400.0,0,0,0,1,120k+,4273.68,46.8615608215332,7.565763473510742
1705078044-128,440i Gran Coupé xDrive M Sport Individual Steptron,AG,5300,2019,37800,37200.0,0,0,1,1,0-50k,7440.0,47.487613677978516,8.254960060119629
1705078044-129,X1 xDrive 23i 48V,UR,6467,2023,59811,6000.0,0,0,1,1,0-50k,6000.0,46.869544982910156,8.650934219360352
1705078044-130,M340i xDrive 48V Touring Steptronic,UR,6467,2021,63233,30000.0,0,0,1,1,0-50k,10000.0,46.869544982910156,8.650934219360352
1705078047-131,114i Business,BE,3074,2014,4990,162500.0,0,0,0,0,120k+,16250.0,46.93461227416992,7.489782810211182
1705078047-132,523i,BE,3098,1999,6850,220000.0,0,0,0,0,120k+,8800.0,46.92047882080078,7.4225592613220215
1705078047-133,316i,ZH,8003,2000,3500,144000.0,0,0,0,1,120k+,6000.0,47.373687744140625,8.518167495727539
1705078047-134,X3 xDrive 28i Steptronic,SO,4658,2011,12900,186000.0,0,0,1,1,120k+,14307.69,47.352638244628906,7.962329387664795
1705078047-135,440i Coupé xDrive M Sport Steptronic,FR,1630,2019,44900,42500.0,0,0,1,1,0-50k,8500.0,47.11949157714844,9.145731925964355
1705078047-136,335i xDrive,UR,6467,2012,24900,114900.0,0,0,1,1,50-120k,9575.0,46.869544982910156,8.650934219360352
1705078047-137,330d xDrive Touring M Sport Line Steptronic,ZH,8630,2016,24950,127000.0,0,0,1,1,120k+,15875.0,47.25112533569336,8.86181640625
1705078047-138,M3 Competition,ZG,6313,2021,94500,13900.0,0,1,0,1,0-50k,4633.33,47.179046630859375,8.563923835754395
1705078047-139,X5 xDrive 40d Pure M Sport Steptronic,SG,7320,2018,42999,65000.0,0,0,1,1,50-120k,10833.33,47.04939651489258,9.440610885620117
1705078047-140,X3 xDrive 20d Steptronic,ZG,6330,2016,18980,166000.0,0,0,1,1,120k+,20750.0,47.20186233520508,8.453487396240234
1705078051-141,X5 xDrive 40d Steptronic,BS,4058,2012,13500,199000.0,0,0,1,1,120k+,16583.33,47.56646728515625,7.618316173553467
1705078051-142,iX M60,AI,9050,9050,144500,,0,0,0,1,,,47.346214294433594,9.429980278015137
1705078051-143,X1 xDrive 25d M Sport Steptronic,AG,5452,2017,25900,83900.0,0,0,1,1,50-120k,11985.71,47.4180908203125,8.31387996673584
1705078051-144,530i xDrive Touring Luxury Line Steptronic,ZH,8157,2018,41600,22000.0,1,0,1,1,0-50k,3666.67,47.48373031616211,8.451621055603027
1705078051-145,i7 xDrive 60 M Sport Pro,GR,7000,7000,187500,,0,0,1,1,,,46.864017486572266,9.535412788391113
1705078051-146,120d xDrive Steptronic M Sport Pro,GR,7000,7000,64800,,0,0,1,1,,,46.864017486572266,9.535412788391113
1705078051-147,X1 xDrive 18d xLine Steptronic,SZ,8841,2013,14900,132417.0,0,0,1,1,120k+,12037.91,47.10882568359375,8.772257804870605
1705078051-148,220d xDrive Gran Tourer Steptronic,GR,7000,2019,28900,65600.0,0,0,1,1,50-120k,13120.0,46.864017486572266,9.535412788391113
1705078051-149,X1 xDrive 25i M Sport Steptronic,BL,4147,2021,32999,97200.0,0,0,1,1,50-120k,32400.0,47.465938568115234,7.600322723388672
1705078051-150,M140i xDrive Steptronic,ZH,8352,2019,33700,90500.0,0,0,1,1,50-120k,18100.0,47.5051383972168,8.80135440826416
1705078054-151,X6 M50d Steptronic,BE,3049,2018,51900,75000.0,0,0,0,1,50-120k,12500.0,46.99135971069336,7.333220958709717
1705078054-152,M235i Gran Coupé xDrive,GL,8750,2020,44900,67200.0,0,0,1,1,50-120k,16800.0,47.03010559082031,9.067581176757812
1705078054-153,X5 xDrive 30d Steptronic,SZ,8834,2019,49900,103000.0,0,0,1,1,50-120k,20600.0,47.17436218261719,8.717484474182129
1705078054-154,X5 xDrive 48V 30d M Sport Pro Steptronic,BL,4147,4147,107999,,0,0,1,1,,,47.465938568115234,7.600322723388672
1705078054-155,M340i xDriveTouring Steptronic M Sport,ZH,8352,2020,44700,90500.0,0,0,1,1,50-120k,22625.0,47.5051383972168,8.80135440826416
1705078054-156,X6 xDrive 40d Steptronic,ZH,8352,2016,42700,76000.0,0,0,1,1,50-120k,9500.0,47.5051383972168,8.80135440826416
1705078054-157,630,FR,3286,2006,9999,157000.0,0,0,0,1,120k+,8722.22,46.93781280517578,7.128519058227539
1705078054-158,M135i Steptronic,FR,3286,2013,14499,211000.0,0,0,0,1,120k+,19181.82,46.93781280517578,7.128519058227539
1705078054-159,320d xDrive Touring Steptronic,FR,3178,2018,16990,145000.0,0,0,1,1,120k+,24166.67,46.89778137207031,7.229503631591797
1705078054-160,X5 xDrive 25d Steptronic,ZG,6330,2017,29980,146000.0,0,0,1,1,120k+,20857.14,47.20186233520508,8.453487396240234
1705078058-161,X4 xDrive 28i xLine Steptronic,VS,1964,2015,25900,103000.0,0,0,1,1,50-120k,11444.44,46.225563049316406,7.300660133361816
1705078058-162,M3 Competition M xDrive,SG,9245,2023,104990,12000.0,0,1,1,1,0-50k,12000.0,47.45352554321289,9.163141250610352
1705078058-163,X5M Competition Steptronic Competition,LU,6208,2022,137500,10500.0,0,1,0,1,0-50k,5250.0,47.14556121826172,8.099379539489746
1705078058-164,M2 Steptronic,SO,4528,4528,89500,,0,0,0,1,,,47.20091247558594,7.57173490524292
1705078058-165,X3 xDrive M Competition Steptronic,BL,4132,2022,84900,43000.0,0,1,1,1,0-50k,21500.0,47.52479553222656,7.647059917449951
1705078058-166,X5 xDrive 48V 40i M Sport Steptronic,BL,4147,4147,116999,,0,0,1,1,,,47.465938568115234,7.600322723388672
1705078058-167,230e xDrive Active Tourer M Sport,BL,4147,4147,66999,,0,0,1,1,,,47.465938568115234,7.600322723388672
1705078058-168,128ti Steptronic,LU,6208,2023,47900,14000.0,0,0,0,1,0-50k,14000.0,47.14556121826172,8.099379539489746
1705078058-169,120d xDrive Steptronic Sport Line,GR,7000,2023,39900,23100.0,0,0,1,1,0-50k,23100.0,46.864017486572266,9.535412788391113
1705078058-170,X3 xDrive 30i M Sport Steptronic,GR,7000,2019,42900,64500.0,0,0,1,1,50-120k,12900.0,46.864017486572266,9.535412788391113
