,web-scraper-order,model_raw,Location,PLZ,Year,price,km,km_per_year
143,1705078051-144,530i xDrive Touring Luxury Line Steptronic,ZH,8157,2018,41600,22000.0,3666.67
146,1705078051-147,X1 xDrive 18d xLine Steptronic,SZ,8841,2013,14900,132417.0,12037.91
147,1705078051-148,220d xDrive Gran Tourer Steptronic,GR,7000,2019,28900,65600.0,13120.0
148,1705078051-149,X1 xDrive 25i M Sport Steptronic,BL,4147,2021,32999,97200.0,32400.0
149,1705078051-150,M140i xDrive Steptronic,ZH,8352,2019,33700,90500.0,18100.0
150,1705078054-151,X6 M50d Steptronic,BE,3049,2018,51900,75000.0,12500.0
151,1705078054-152,M235i Gran Coupé xDrive,GL,8750,2020,44900,67200.0,16800.0
152,1705078054-153,X5 xDrive 30d Steptronic,SZ,8834,2019,49900,103000.0,20600.0
154,1705078054-155,M340i xDriveTouring Steptronic M Sport,ZH,8352,2020,44700,90500.0,22625.0
155,1705078054-156,X6 xDrive 40d Steptronic,ZH,8352,2016,42700,76000.0,9500.0
156,1705078054-157,630,FR,3286,2006,9999,157000.0,8722.22
157,1705078054-158,M135i Steptronic,FR,3286,2013,14499,211000.0,19181.82
158,1705078054-159,320d xDrive Touring Steptronic,FR,3178,2018,16990,145000.0,24166.67
159,1705078054-160,X5 xDrive 25d Steptronic,ZG,6330,2017,29980,146000.0,20857.14
160,1705078058-161,X4 xDrive 28i xLine Steptronic,VS,1964,2015,25900,103000.0,11444.44
161,1705078058-162,M3 Competition M xDrive,SG,9245,2023,104990,12000.0,12000.0
162,1705078058-163,X5M Competition Steptronic Competition,LU,6208,2022,137500,10500.0,5250.0
164,1705078058-165,X3 xDrive M Competition Steptronic,BL,4132,2022,84900,43000.0,21500.0
167,1705078058-168,128ti Steptronic,LU,6208,2023,47900,14000.0,14000.0
168,1705078058-169,120d xDrive Steptronic Sport Line,GR,7000,2023,39900,23100.0,23100.0
169,1705078058-170,X3 xDrive 30i M Sport Steptronic,GR,7000,2019,42900,64500.0,12900.0
170,1705078067-171,X1 xDrive 20d M Sport Steptronic,SG,9402,2019,31900,67500.0,13500.0
171,1705078067-172,X5 4.4i,ZH,8308,2004,3900,204000.0,10200.0
172,1705078067-173,X5 xDrive 25d Steptronic,SO,4614,2017,36999,82000.0,11714.29
173,1705078067-174,X5 xDrive 40d Steptronic,ZG,6330,2014,34490,149800.0,14980.0
174,1705078067-175,520d Touring Luxury Line Steptronic,ZG,6330,2018,29980,135000.0,22500.0
175,1705078067-176,X3 xDrive 20d Individual xLine Steptronic,ZG,6330,2019,36980,119000.0,23800.0
176,1705078067-177,750Li,BE,3600,2015,29000,135000.0,15000.0
177,1705078067-178,635 CSi,BE,2504,1982,30000,125000.0,2976.19
178,1705078067-179,M340i xDriveTouring Steptronic M Sport,AI,9050,2020,58600,49000.0,12250.0
179,1705078067-180,120i,BE,3074,2011,8400,169500.0,13038.46
180,1705078071-181,X5 xDrive 40i Steptronic,ZH,8424,2019,51800,123025.0,24605.0
181,1705078071-182,420i Gran Coupé M Sport Steptronic,ZH,8051,2023,47800,8400.0,8400.0
182,1705078071-183,X1 xDrive 18d Sport Line Steptronic,VD,1123,2015,12900,171000.0,19000.0
183,1705078071-184,X3 xDrive 35d (3.0sd) Steptronic,ZH,8902,2008,8950,255000.0,15937.5
184,1705078071-185,540d xDrive Touring Pure M Sport Edition Steptr.,SZ,8864,2020,51800,39900.0,9975.0
185,1705078071-186,320d Touring Edition Sport Line,ZH,8153,2018,14900,134000.0,22333.33
186,1705078071-187,X3 xDrive 30d xLine Steptronic,SG,9402,2020,35600,121500.0,30375.0
187,1705078071-188,530d xDrive Touring Pure M Sport Edition Steptr.,SZ,8864,2020,44800,26000.0,6500.0
189,1705078071-190,320d Steptronic,ZH,8604,2016,12900,227553.0,28444.12
190,1705078074-191,X5 xDrive45e M Sport Steptronic,SG,8645,2023,94800,2400.0,2400.0
191,1705078074-192,120d xDrive Steptronic Pure M Sport,SG,8645,2020,34900,34900.0,8725.0
192,1705078074-193,330e x DriveTouring M Sport Steptronic,SG,8645,2020,39800,77999.0,19499.75
193,1705078074-194,X3 xDrive 20d Individual M Sport Steptronic,SG,8645,2019,36900,63500.0,12700.0
194,1705078074-195,X1 xDrive 20d Sport Line,FR,3185,2013,11950,119000.0,10818.18
195,1705078074-196,M240i xDrive Steptronic,ZH,8424,2018,31800,81300.0,13550.0
196,1705078074-197,X1 xDrive 20d Steptronic,BE,3715,2014,13900,185000.0,18500.0
197,1705078074-198,535d GT xDrive Steptronic,SG,9434,2013,24900,91000.0,8272.73
198,1705078074-199,M340i xDrive 48V Touring Steptronic,ZH,6340,2020,52900,41400.0,10350.0
199,1705078074-200,X2 xDrive 18d Steptronic,ZH,8352,2020,25500,45000.0,11250.0
200,1705078078-201,218d Active Tourer Steptronic,SO,2540,2016,12900,153000.0,19125.0
201,1705078078-202,216d Active Tourer,SO,2540,2018,15800,100000.0,16666.67
202,1705078078-203,M2 Steptronic,TG,8580,2023,66800,13300.0,13300.0
203,1705078078-204,M240i xDrive Steptronic,ZH,8542,2016,36900,11500.0,1437.5
204,1705078078-205,120d xDrive Steptronic M Sport,SG,9466,2020,23998,138000.0,34500.0
205,1705078078-206,M3 Competition Drivelogic,SG,8645,2018,86500,32000.0,5333.33
206,1705078078-207,528i,ZH,8713,1999,25000,186000.0,7440.0
207,1705078078-208,540i xDrive Steptronic,ZH,8107,2017,36900,120500.0,17214.29
208,1705078078-209,340i xDrive Power & Sound Edition Steptronic,ZH,8607,2017,39000,99000.0,14142.86
209,1705078078-210,M2 Competition Drivelogic,AG,5036,2019,64900,35000.0,7000.0
210,1705078081-211,530xi Touring,VD,1070,2005,1900,280000.0,14736.84
211,1705078081-212,530d xDrive Touring Steptronic,ZH,8153,2012,15990,180000.0,15000.0
212,1705078081-213,320d xDrive Steptronic,ZH,8424,2011,13490,90300.0,6946.15
213,1705078081-214,116d Steptronic,SO,2540,2016,17900,48000.0,6000.0
214,1705078081-215,M6 Gran Coupé Drivelogic,FL,9494,2016,61920,116500.0,14562.5
215,1705078081-216,216d Active Tourer DKG,SO,2540,2018,21900,22000.0,3666.67
216,1705078081-217,M135i xDrive Steptronic,SZ,8854,2014,14900,208000.0,20800.0
217,1705078081-218,320d xDrive Steptronic,SO,2540,2019,23900,115000.0,23000.0
218,1705078081-219,320d xDrive Touring Steptronic,SO,2540,2019,18500,124000.0,24800.0
219,1705078081-220,325i Steptronic,BE,3426,2007,2900,125000.0,7352.94
220,1705078084-221,M4 Cabrio Competition M xDrive,ZH,8051,2022,91500,6200.0,3100.0
221,1705078084-222,320d xDrive Touring Luxury Line Steptronic,ZH,6340,2020,27900,100600.0,25150.0
222,1705078084-223,218d Active Tourer M Sport DKG,ZH,8051,2022,34500,5700.0,2850.0
223,1705078084-224,520d xDrive Touring Steptronic,AG,5417,2019,33900,77000.0,15400.0
224,1705078084-225,116i,ZH,8143,2013,8500,173000.0,15727.27
225,1705078084-226,320d Edition M Sport Steptronic,SG,8717,2019,26900,66500.0,13300.0
226,1705078084-227,X7 xDrive 48V 40d Steptronic,LU,6004,2022,87900,40700.0,20350.0
227,1705078084-228,1er M Coupé,VS,1868,2012,54900,110000.0,9166.67
228,1705078084-229,M4 CSL Coupé,TG,8580,2023,162800,1000.0,1000.0
229,1705078084-230,M340i xDriveTouring Steptronic M Sport,ZH,8542,2020,57900,37400.0,9350.0
230,1705078088-231,320d xDrive M Sport Steptronic,SG,9466,2019,34998,122000.0,24400.0
231,1705078088-232,320d Touring more4you Steptronic,BE,4564,2009,6900,173000.0,11533.33
232,1705078088-233,318d Touring Sport Line Steptronic,SO,4512,2014,9600,262000.0,26200.0
233,1705078088-234,M550d xDrive Steptronic,SO,4632,2016,32900,128250.0,16031.25
234,1705078088-235,M3 Coupé DSG,ZH,8046,2011,66900,71000.0,5461.54
235,1705078088-236,M4 Coupé Competition,AG,5452,2021,84000,43000.0,14333.33
236,1705078088-237,X5 xDrive M50d Steptronic,BE,3627,2019,58500,155000.0,31000.0
237,1705078088-238,320d xDrive 48V Steptronic,ZH,8604,2021,32980,33590.0,11196.67
238,1705078088-239,M440i xDrive 48V Cabriolet Steptronic,FR,1726,2023,79900,4400.0,4400.0
239,1705078088-240,520d xDrive Touring Steptronic,AG,5417,2019,31900,87100.0,17420.0
240,1705078091-241,X4 xDrive 28i Steptronic,BE,3852,2017,34900,79000.0,11285.71
241,1705078091-242,525d Touring xDrive Luxury Line Steptronic,VD,1046,2015,24500,118000.0,13111.11
242,1705078091-243,528i Touring xDrive Steptronic,ZH,8108,2015,16900,153000.0,17000.0
243,1705078091-244,320d xDrive Touring,VS,3977,2011,2400,220000.0,16923.08
244,1705078091-245,X5 xDrive 48V 40d M Sport Steptronic,FR,3178,2022,77999,22000.0,11000.0
245,1705078091-246,320d xDrive Touring Modern Line Steptronic,BE,4900,2014,12700,157000.0,15700.0
246,1705078091-247,X5 xDrive M50d Edition 20 Jahre Steptronic,BE,3627,2019,75500,72000.0,14400.0
247,1705078091-248,320i M Sport Steptronic,BE,3422,2017,26000,82000.0,11714.29
248,1705078091-249,525d xDrive Touring Steptronic,TI,6834,2013,18999,93000.0,8454.55
249,1705078091-250,X5 xDrive 40d Steptronic,SG,9434,2014,26999,191000.0,19100.0
250,1705078095-251,X4 xDrive 35i Steptronic,LU,6012,2015,27930,118540.0,13171.11
251,1705078095-252,M140i xDrive Steptronic,SG,9450,2019,32800,47000.0,9400.0
252,1705078095-253,525d Touring,SO,4600,2010,8900,249000.0,17785.71
253,1705078095-254,X3 xDrive 20d Steptronic,BL,4242,2013,14900,183000.0,16636.36
254,1705078095-255,M5 xDrive  Competition Drivelogic,SG,8887,2020,89900,57000.0,14250.0
255,1705078095-256,320d xDrive Dynamic Edition Steptronic,LU,6210,2012,16900,69000.0,5750.0
256,1705078095-257,X3 xDrive 20i Steptronic,ZH,8320,2015,17900,179500.0,19944.44
257,1705078095-258,528i Touring xDrive Steptronic,SH,8203,2014,18500,161000.0,16100.0
258,1705078095-259,X5 xDrive 50e Steptronic,ZH,8404,2023,76900,17999.0,17999.0
259,1705078095-260,i3 (94Ah),ZH,8305,2018,15900,61500.0,10250.0
260,1705078099-261,M340i xDriveTouring Steptronic M Sport,SH,8207,2020,53900,36999.0,9249.75
264,1705078099-265,335i Cabriolet,SG,8730,2010,23600,105000.0,7500.0
266,1705078099-267,X1 xDrive 20d 48V M Sport,FR,1726,2023,54900,29000.0,29000.0
267,1705078099-268,X5 xDrive 48V 30d M Sport Steptronic,ZH,8953,2022,74900,24700.0,12350.0
270,1705078104-271,X5 xDrive 48V 30d M Sport Steptronic,ZH,8051,2022,69500,18900.0,9450.0
271,1705078104-272,X1 xDrive 20i Sport Line Steptronic,VD,1029,2021,32499,65000.0,21666.67
272,1705078104-273,X3 xDrive 30d xLine Steptronic,ZH,8184,2018,38900,75000.0,12500.0
273,1705078104-274,M235i xDrive Steptronic,SZ,8834,2014,35900,12000.0,1200.0
276,1705078104-277,M140i xDrive Steptronic,BL,4153,2019,32500,90000.0,18000.0
277,1705078104-278,X5 xDrive 40i Steptronic,AG,5000,2019,61800,91900.0,18380.0
278,1705078104-279,iX1 xDrive 30 xLine,ZH,8404,2022,62900,13999.0,6999.5
279,1705078104-280,X5 xDrive 48V 40d M Sport Steptronic,VS,1870,2021,64900,70800.0,23600.0
280,1705078111-281,118i Dynamic Edition,BL,4460,2010,4700,232300.0,16592.86
281,1705078111-282,420d Gran Coupé xDrive Sport Line Steptronic,ZH,8051,2018,26800,59500.0,9916.67
288,1705078111-289,118i Essential Edition,GL,8750,2019,21900,33300.0,6660.0
289,1705078111-290,X4M xDrive Competition Steptronic,ZH,8051,2022,89500,9300.0,4650.0
290,1705078117-291,120d xDrive Steptronic M Sport,BL,4132,2022,36900,27400.0,13700.0
291,1705078117-292,520d xDrive 48V Touring Pure M Sport Edition,ZH,8953,2022,50900,29900.0,14950.0
292,1705078117-293,X2 M35i Steptronic,FR,1726,2022,53900,16400.0,8200.0
293,1705078117-294,X5 xDrive 48V 40i M Sport Steptronic,FR,1726,2022,87900,30000.0,15000.0
294,1705078117-295,520d xDrive 48V M Sport Steptronic,BL,4147,2024,79999,3000.0,inf
295,1705078117-296,X6M Steptronic M Competition,VD,1847,2021,122900,84000.0,28000.0
296,1705078117-297,M440i xDrive 48V Coupé Steptronic,ZH,8051,2022,58500,27800.0,13900.0
298,1705078117-299,420i Cabriolet Steptronic,GL,8750,2015,27900,26600.0,2955.56
299,1705078117-300,120d xDrive Steptronic M Sport,BE,3400,2021,28800,76600.0,25533.33
300,1705078123-301,116i,SO,4625,2013,8800,104000.0,9454.55
301,1705078123-302,330e Steptronic M Sport,LU,6015,2020,39900,42000.0,10500.0
303,1705078123-304,X3 xDrive 30i M Sport Steptronic,GR,7000,2020,47300,52800.0,13200.0
304,1705078123-305,X5 xDrive M50d Steptronic,ZH,8424,2014,33800,128200.0,12820.0
305,1705078123-306,218i Active Tourer,BL,4123,2016,14900,71500.0,8937.5
306,1705078123-307,135i Coupé,BE,2556,2011,16000,220000.0,16923.08
307,1705078123-308,118i Essential Edition,SO,2540,2022,27800,18000.0,9000.0
308,1705078123-309,520d xDrive 48V Touring Pure M Sport Edition,ZH,8953,2022,52900,24500.0,12250.0
309,1705078123-310,M135i xDrive Steptronic,BL,4132,2020,36900,47100.0,11775.0
310,1705078131-311,325Ci Cabriolet,ZH,8712,2001,6500,211200.0,9182.61
311,1705078131-312,X5 xDrive 40d Steptronic,AG,5430,2012,13900,210000.0,17500.0
312,1705078131-313,M550d xDrive Touring Steptronic,SO,4616,2013,27800,124000.0,11272.73
313,1705078131-314,X7 xDrive 48V 40d Steptronic,BE,3172,2021,65900,97800.0,32600.0
314,1705078131-315,X3 M40d Individual Steptronic,ZH,8107,2020,49900,74200.0,18550.0
316,1705078131-317,220d xDrive Active Tourer M Sport Steptronic,LU,6015,2016,18900,94000.0,11750.0
317,1705078131-318,M4 Coupé Competition,SO,4614,2021,69800,26500.0,8833.33
318,1705078131-319,iX1 xDrive 30,SG,9443,2023,61700,4000.0,4000.0
319,1705078131-320,i3s (120Ah),SO,4614,2020,27500,43500.0,10875.0
320,1705078137-321,X5 xDrive 35i Steptronic,SG,9205,2014,31990,78200.0,7820.0
322,1705078137-323,218d xDrive Gran Tourer Steptronic Fleet Edition,LU,6015,2019,14850,135000.0,27000.0
323,1705078137-324,X3 xDrive 20d (2.0d) Steptronic,ZH,8105,2008,4900,212000.0,13250.0
324,1705078137-325,525d Touring xDrive Luxury Line Steptronic,BE,3612,2014,12499,229250.0,22925.0
325,1705078137-326,428i Coupé xDrive M Sport Steptronic,SG,9470,2016,17900,146000.0,18250.0
326,1705078137-327,X5 xDrive 48V 40d M Sport Pro Steptronic,SO,4624,2024,124000,4000.0,inf
327,1705078137-328,X3 M40d Steptronic,TG,8570,2018,39999,125000.0,20833.33
328,1705078137-329,116d Steptronic,SO,4574,2020,18900,93200.0,23300.0
329,1705078137-330,116i Steptronic,SO,4574,2014,16900,50800.0,5080.0
330,1705078143-331,X6M Steptronic,ZH,8105,2018,62800,72800.0,12133.33
331,1705078143-332,X6 M50i Steptronic,GR,7000,2020,71900,104000.0,26000.0
332,1705078143-333,320d xDrive Luxury Line Steptronic,FR,1726,2019,31900,96000.0,19200.0
333,1705078143-334,420d 48V Gran Coupé M Sport Steptronic,ZH,8051,2023,48500,5800.0,5800.0
334,1705078143-335,X6 xDrive 40d Steptronic,FR,1654,2010,14900,185000.0,13214.29
